307	355	1214	C1orf122	1
308	357	1229	MIR3659	1
309	360	1245	AKIRIN1	1
310	361	1246	NDUFS5	1
311	362	1247	MACF1	1
312	364	1253	BMP8A	1
313	365	1254	OXCT2P1	1
314	367	1264	PPIE	1
315	369	1276	MFSD2A	1
316	370	1278	CAP1	1
317	371	1281	RLF	1
318	372	1283	TMCO2	1
319	373	1285	ZMPSTE24	1
320	374	1289	SMAP2	1
321	375	1291	ZFP69B	1
322	376	1294	ZFP69	1
323	377	1296	EXO5	1
324	378	1299	ZNF684	1
325	379	1305	NFYC	1
326	380	1306	MIR30E	1
327	381	1307	MIR30C1	1
328	382	1308	KCNQ4	1
329	383	1315	CTPS1	1
330	384	1317	SLFNL1-AS1	1
331	385	1334	GUCA2B	1
332	386	1338	RIMKLA	1
333	387	1342	CCDC30	1
334	388	1341	PPCS	1
335	389	1347	PPIH	1
336	390	1349	YBX1	1
337	391	1352	C1orf50	1
338	393	1356	ERMAP	1
339	394	1358	ZNF691	1
340	396	1363	SLC2A1-AS1	1
341	397	1366	FAM183A	1
342	398	1368	CFAP57	1
343	399	1370	TMEM125	1
344	400	1372	TIE1	1
345	401	1373	MPL	1
346	402	1375	CDC20	1
347	403	1380	SZT2	1
348	404	1382	MIR6735	1
349	405	1385	PTPRF	1
350	406	1386	KDM4A	1
351	407	1388	ST3GAL3	1
352	409	1392	ARTN	1
353	410	1394	IPO13	1
354	411	1395	DPH2	1
355	412	1396	ATP6V0B	1
356	413	1397	B4GALT2	1
357	414	1398	CCDC24	1
358	415	1405	KLF17	1
359	416	1413	DMAP1	1
360	417	1418	RNF220	1
361	418	1419	MIR5584	1
362	420	1424	KIF2C	1
363	422	1426	RPS8	1
364	423	1427	SNORD55	1
365	424	1428	SNORD46	1
366	425	1429	SNORD38A	1
367	426	1430	SNORD38B	1
369	427	1434	PLK3	1
370	428	1436	BTBD19	1
371	429	1447	UROD	1
372	430	1451	LINC01144	1
373	431	1452	HPDL	1
374	432	1454	TOE1	1
375	433	1458	MMACHC	1
376	434	1461	AKR1A1	1
377	435	1464	NASP	1
378	436	1471	TMEM69	1
379	437	1475	MAST2	1
380	439	1482	TSPAN1	1
381	440	1486	LURAP1	1
382	441	1487	RAD54L	1
383	442	1489	UQCRH	1
384	443	1490	NSUN4	1
385	444	1492	FAAH	1
386	445	1493	FAAHP1	1
387	446	1497	DMBX1	1
388	447	1498	MKNK1-AS1	1
389	448	1504	TEX38	1
390	449	1505	EFCAB14-AS1	1
391	450	1508	CYP4B1	1
392	451	1516	CYP4X1	1
393	452	1517	CYP4Z1	1
394	453	1520	CYP4A22	1
395	454	1522	LINC00853	1
396	455	1527	CMPK1	1
397	456	1529	FOXE3	1
398	457	1531	FOXD2	1
399	458	1547	SLC5A9	1
400	460	1566	ELAVL4	1
401	461	1580	CDKN2C	1
402	462	1581	MIR4421	1
403	463	1582	MIR6500	1
404	464	1583	C1orf185	1
405	465	1588	RNF11	1
406	466	1592	TTC39A-AS1	1
407	467	1600	OSBPL9	1
408	468	1617	TXNDC12-AS1	1
409	469	1618	BTF3L4	1
410	470	1619	ZFYVE9	1
411	471	1632	PRPF38A	1
412	472	1636	GPX7	1
413	474	1641	ZYG11B	1
414	475	1645	ZYG11A	1
415	476	1650	SCP2	1
416	477	1658	PODN	1
417	478	1664	CPT2	1
418	481	1679	DMRTB1	1
419	482	1686	DIO1	1
420	483	1688	LRRC42	1
421	484	1693	TCEANC2	1
422	485	1694	MIR4781	1
423	486	1701	MRPL37	1
424	487	1703	SSBP3-AS1	1
425	488	1711	ACOT11	1
426	489	1714	MROH7	1
427	490	1715	MROH7-TTC4	1
428	491	1716	TTC4	1
429	493	1724	TMEM61	1
430	494	1726	BSND	1
431	495	1727	PCSK9	1
432	498	1731	MIR4422	1
433	501	1751	PRKAA2	1
434	502	1754	C8A	1
435	503	1762	DAB1-AS1	1
436	504	1776	LINC01135	1
437	505	1781	LINC01358	1
438	506	1788	FGGY	1
439	508	1792	HOOK1	1
440	509	1800	NFIA	1
441	512	1814	MIR3116-1	1
442	513	1817	L1TD1	1
443	514	1822	USP1	1
444	515	1825	ANGPTL3	1
445	516	1829	ATG4C	1
446	517	1842	FOXD3	1
447	518	1846	ALG6	1
448	519	1848	EFCAB7	1
449	520	1851	DLEU2L	1
450	521	1858	PGM1	1
451	522	1860	ROR1	1
452	523	1866	UBE2U	1
453	524	1868	CACHD1	1
454	525	1869	MIR4794	1
455	526	1870	RAVER2	1
456	527	1883	AK4	1
457	528	1885	DNAJC6	1
458	529	1889	LEPROT	1
459	530	1890	LEPR	1
460	531	1894	PDE4B	1
461	532	1897	SGIP1	1
462	534	1901	TCTEX1D1	1
463	535	1905	MIER1	1
464	536	1910	IL23R	1
465	537	1915	IL12RB2	1
467	538	1924	GADD45A	1
468	539	1927	GNG12-AS1	1
469	540	1942	DEPDC1-AS1	1
470	543	1947	LRRC7	1
471	544	1950	PIN1P1	1
472	545	1954	SRSF11	1
473	546	1957	HHLA3	1
474	547	1960	CTH	1
475	549	1970	ZRANB2-AS1	1
476	550	1973	ZRANB2-AS2	1
477	551	1989	LINC01360	1
478	553	1995	FPGT-TNNI3K	1
479	554	1994	FPGT	1
480	555	1996	TNNI3K	1
481	556	2001	ERICH3-AS1	1
482	557	2004	TYW3	1
483	558	2008	LHX8	1
484	559	2018	ACADM	1
485	560	2020	RABGGTB	1
486	561	2021	SNORD45C	1
487	562	2022	SNORD45A	1
488	563	2023	SNORD45B	1
489	564	2024	MSH4	1
490	566	2029	ST6GALNAC3	1
491	567	2036	ST6GALNAC5	1
492	568	2038	MIR7156	1
493	569	2044	AK5	1
494	571	2059	NEXN	1
495	572	2061	DNAJB4	1
496	573	2062	GIPC2	1
497	574	2069	MGC27382	1
498	575	2070	PTGFR	1
499	576	2073	IFI44L	1
500	577	2074	IFI44	1
501	580	2110	LINC01362	1
502	582	2119	PRKACB	1
503	583	2124	SAMD13	1
504	584	2127	DNASE2B	1
505	585	2128	RPF1	1
506	586	2130	SPATA1	1
507	587	2138	WDR63	1
508	588	2140	MIR4423	1
509	591	2162	CLCA2	1
510	592	2163	CLCA1	1
511	593	2164	CLCA4	1
512	594	2168	CLCA3P	1
513	595	2170	SH3GLB1	1
514	596	2173	HS2ST1	1
515	597	2180	LINC01140	1
516	599	2182	LMO4	1
517	600	2193	PKN2	1
518	601	2211	GBP6	1
519	602	2213	GBP1P1	1
520	603	2214	LRRC8B	1
521	604	2217	LRRC8C	1
522	605	2222	LRRC8D	1
523	606	2226	ZNF326	1
524	609	2240	CDC7	1
525	610	2246	BRDT	1
526	611	2247	EPHX4	1
527	612	2250	BTBD8	1
528	613	2253	KIAA1107	1
529	614	2256	C1orf146	1
530	615	2260	RPAP2	1
531	616	2270	RPL5	1
532	617	2272	SNORD21	1
533	618	2273	SNORA66	1
534	619	2281	MTF2	1
535	620	2283	CCDC18	1
536	621	2288	DR1	1
537	622	2291	FNBP1L	1
538	624	2296	MIR760	1
539	625	2318	ABCD3	1
540	626	2327	SLC44A3	1
541	629	2333	TMEM56	1
542	630	2334	TMEM56-RWDD3	1
543	631	2338	RWDD3	1
544	635	2358	PTBP2	1
545	636	2362	DPYD-AS1	1
546	637	2367	DPYD-AS2	1
547	639	2378	SNX7	1
548	642	2385	PALMD	1
549	643	2391	AGL	1
550	644	2393	SLC35A3	1
551	646	2401	TRMT13	1
552	647	2408	RTCA	1
553	648	2409	MIR553	1
554	649	2412	CDC14A	1
555	650	2416	GPR88	1
556	651	2420	VCAM1	1
557	652	2423	SLC30A7	1
558	654	2432	S1PR1	1
559	655	2436	LINC01307	1
560	656	2443	DNAJA1P5	1
561	657	2451	RNPC3	1
562	658	2452	AMY2B	1
563	659	2453	ACTG1P4	1
564	660	2454	AMY2A	1
565	661	2459	AMY1C	1
566	662	2455	AMY1A	1
567	663	2457	AMY1B	1
568	666	2478	PRMT6	1
569	667	2479	NTNG1	1
570	668	2482	MIR7852	1
571	669	2483	VAV3-AS1	1
572	670	2492	NBPF6	1
573	671	2498	FAM102B	1
574	672	2500	PRPF38B	1
575	673	2501	FNDC7	1
576	674	2503	STXBP3	1
577	675	2507	SPATA42	1
578	676	2508	GPSM2	1
579	677	2517	TMEM167B	1
580	678	2518	SCARNA2	1
582	679	2522	KIAA1324	1
583	680	2523	SARS	1
584	681	2524	CELSR2	1
585	682	2529	SYPL2	1
586	683	2530	ATXN7L2	1
587	684	2531	CYB561D1	1
588	685	2533	GPR61	1
589	686	2535	GNAI3	1
590	687	2538	MIR197	1
591	688	2540	AMPD2	1
592	689	2543	GSTM4	1
593	690	2544	GSTM2	1
594	691	2545	GSTM1	1
595	692	2547	GSTM5	1
596	693	2555	CSF1	1
597	694	2556	AHCYL1	1
598	695	2557	STRIP1	1
599	696	2560	LINC01397	1
600	697	2561	UBL4B	1
601	698	2562	SLC6A17	1
602	699	2566	KCNC4	1
603	700	2569	RBM15	1
604	701	2570	LAMTOR5-AS1	1
605	702	2574	PROK1	1
606	703	2576	CYMP	1
607	704	2586	CD53	1
608	705	2594	CEPT1	1
609	706	2598	CHI3L2	1
610	707	2600	CHIAP2	1
611	708	2601	CHIA	1
612	709	2604	PIFO	1
